Time (s),CH1_Raw (V),CH1_Filtered (V),CH2_Raw (V),CH2_Filtered (V),CH4_Raw (V),CH4_Filtered (V)
-0.5,-3.68,-3.6792790236941153,3.06,3.0598958663975817,0.0,-0.0008723122348834923
-0.499992,-3.68,-3.679253246486279,3.06,3.0618249230065713,0.0,-0.0013590167182339632
-0.499984,-3.68,-3.679246508901163,3.06,3.063690878631693,0.0,-0.0017644136368925656
-0.499976,-3.68,-3.679262048729407,3.1,3.0654855738650157,0.0,-0.0020974928678832018
-0.499968,-3.68,-3.6793030498371584,3.06,3.067202066366359,0.0,-0.0023679612653082923
-0.49996,-3.68,-3.679372569815148,3.06,3.0688347414172226,0.0,-0.002585971302154316
-0.499952,-3.68,-3.679473463882197,3.06,3.070379378723555,0.0,-0.002761857256705168
-0.499944,-3.68,-3.679608306711899,3.1,3.0718331707548105,0.0,-0.002905885205609806
-0.499936,-3.68,-3.6797793141030697,3.1,3.073194689051245,0.0,-0.003028022213138611
-0.499928,-3.68,-3.679988266639232,3.1,3.074463795462336,0.0,-0.0031377291476453644
-0.49992,-3.68,-3.680236437668056,3.06,3.0756414972898147,0.0,-0.0032437805276243482
-0.499912,-3.68,-3.6805245280656633,3.1,3.0767297500691506,0.0,-0.0033541137131282077
-0.499904,-3.68,-3.680852610319685,3.06,3.0777312179725453,0.0,-0.0034757086221274412
-0.499896,-3.68,-3.6812200844546497,3.06,3.078649007116089,0.0,-0.003614497970584803
-0.499888,-3.68,-3.681625648219243,3.06,3.0794863899071574,0.0,-0.0037753068112761734
-0.49988,-3.68,-3.682067283742376,3.1,3.080246538655484,-0.03333333333333333,-0.003961818927519383
-0.499872,-3.68,-3.682542262528975,3.06,3.080932284319599,0.0,-0.004176566714497607
-0.499864,-3.68,-3.6830471701924306,3.1,3.081545912678413,0.0,-0.004420941184534916
-0.499856,-3.68,-3.6835779516945935,3.06,3.0820890071433915,0.0,-0.004695220048130088
-0.499848,-3.68,-3.684129977072818,3.06,3.08256234565459,0.0,-0.004998613753648188
-0.49984,-3.68,-3.6846981266643697,3.1,3.082965857896685,0.0,-0.00532933053133876
-0.499832,-3.68,-3.6852768936807334,3.06,3.083298647220052,0.0,-0.005684661184169603
-0.499824,-3.68,-3.6858605006282152,3.06,3.0835590787717124,0.0,-0.006061082980469602
-0.499816,-3.72,-3.68644302456788,3.06,3.0837449318702386,-0.03333333333333333,-0.006454380207845844
