Time (s),CH1_Raw (V),CH1_Filtered (V),CH2_Raw (V),CH2_Filtered (V),CH3_Raw (V),CH3_Filtered (V),CH4_Raw (V),CH4_Filtered (V)
-0.5,-4.0,-3.9996222565485646,3.48,3.476385203915803,-0.0033333333333333327,-0.0033260958850388437,-0.0016666666666666668,-0.0016251456263238163
-0.499992,-4.04,-4.000820995024313,3.48,3.4744961478463274,-0.0033333333333333327,-0.0033262971064466256,-0.0003333333333333333,-0.0015218103542620606
-0.499984,-4.0,-4.002047084420879,3.48,3.472837725718556,-0.0033333333333333327,-0.003326732057943914,-0.0003333333333333333,-0.0014234007841671331
-0.499976,-4.0,-4.003282289091683,3.48,3.471404547885136,-0.0033333333333333327,-0.003327424074108142,-0.0003333333333333333,-0.001330602465475404
-0.499968,-4.04,-4.004508688517002,3.48,3.4701893763926948,-0.0033333333333333327,-0.00332839357609256,-0.0003333333333333333,-0.0012439983297921767
-0.49996,-4.0,-4.005709137158965,3.48,3.469183460335243,-0.0033333333333333327,-0.003329657284986885,-0.0016666666666666668,-0.001164052910283483
-0.499952,-4.04,-4.006867670303524,3.48,3.4683768386809324,-0.0033333333333333327,-0.003331227444368052,0.0003333333333333333,-0.0010911005063175348
-0.499944,-4.0,-4.007969842329674,3.48,3.467758600229422,-0.0033333333333333327,-0.0033331110739935406,-0.0003333333333333333,-0.0010253377734046913
-0.499936,-4.04,-4.00900298845652,3.48,3.467317093975105,-0.0033333333333333327,-0.0033353092783407995,-0.0003333333333333333,-0.0009668209572416377
-0.499928,-4.0,-4.009956406007128,3.48,3.4670400871521827,-0.0033333333333333327,-0.003337816634966711,-0.001,-0.0009154677584397418
-0.49992,-4.04,-4.010821456138433,3.48,3.466914872546336,-0.0033333333333333327,-0.0033406206883372673,-0.001,-0.000871063576344052
-0.499912,-4.0,-4.0115915915452485,3.48,3.4669283312037966,-0.0033333333333333327,-0.003343701574743751,-0.0016666666666666668,-0.0008332716541776426
-0.499904,-4.0,-4.012262319760982,3.4,3.467066961267902,-0.0033333333333333327,-0.0033470318030616804,-0.0003333333333333333,-0.0008016464927164207
-0.499896,-4.0,-4.012831115024081,3.48,3.4673168875574234,-0.0033333333333333327,-0.003350576214308714,-0.001,-0.000775649851431041
-0.499888,-4.0,-4.013297293465873,3.48,3.467663868082212,-0.0033333333333333327,-0.003354292140108575,-0.001,-0.0007546686923273279
-0.49988,-4.0,-4.013661865812851,3.4,3.4680933118582544,-0.0033333333333333327,-0.003358129776168411,0.0003333333333333333,-0.0007380344851733319
-0.499872,-4.0,-4.013927378921608,3.48,3.468590318030992,-0.0033333333333333327,-0.0033620327816357514,-0.0016666666666666668,-0.000725043335993206
-0.499864,-4.04,-4.014097753198065,3.48,3.469139741167204,-0.0033333333333333327,-0.003365939108640436,-0.001,-0.0007149764087862379
-0.499856,-4.04,-4.014178118569075,3.48,3.469726282301943,-0.0033333333333333327,-0.0033697820583846344,0.0003333333333333333,-0.0007071200972247108
-0.499848,-4.0,-4.01417464868324,3.48,3.4703346006035263,-0.0033333333333333327,-0.0033734915507769,-0.0016666666666666668,-0.0007007853964097424
-0.49984,-4.0,-4.014094392751205,3.48,3.470949438087242,-0.004074074074074074,-0.0033769955848818706,-0.001,-0.0006953259379716801
-0.499832,-4.04,-4.013945106634472,3.48,3.4715557505896095,-0.0025925925925925925,-0.0033802218628276506,-0.0003333333333333333,-0.000690154174955984
-0.499824,-4.0,-4.01373508737026,3.48,3.4721388411359593,-0.0033333333333333327,-0.003383099557935176,-0.001,-0.0006847552342135144
-0.499816,-4.0,-4.013473016601748,3.48,3.4726844953558036,-0.0033333333333333327,-0.0033855612233075717,-0.0023333333333333335,-0.0006786980055829334
-0.499808,-4.0,-4.013167818514677,3.4,3.4731791218961594,-0.0033333333333333327,-0.0033875448360338968,-0.001,-0.0006716431135671508
-0.4998,-4.0,-4.012828537300775,3.48,3.4736099030314618,-0.0033333333333333327,-0.003388995939360877,-0.0016666666666666668,-0.000663347533048857
-0.499792,-4.0,-4.01246423736849,3.48,3.473964960347824,-0.0033333333333333327,-0.0033898697960622797,0.0003333333333333333,-0.0006536657963355412
-0.499784,-4.04,-4.012083926168481,3.48,3.474233536560946,-0.0033333333333333327,-0.003390133424929388,-0.0003333333333333333,-0.0006425479819296503
-0.499776,-4.0,-4.01169649549453,3.48,3.4744061888785023,-0.004074074074074074,-0.0033897673655366206,-0.0016666666666666668,-0.0006300348947805983
-0.499768,-4.04,-4.0113106740623605,3.48,3.474474985159988,-0.0033333333333333327,-0.003388767003310405,-0.0003333333333333333,-0.0006162509672854888
-0.49976,-4.0,-4.010934983246432,3.48,3.474433693136373,-0.0033333333333333327,-0.0033871432963823124,0.0016666666666666668,-0.0006013954353576125
-0.499752,-4.0,-4.010577689073946,3.48,3.474277954218674,-0.004074074074074074,-0.0033849227866864446,-0.0003333333333333333,-0.000585732325027322
-0.499744,-4.04,-4.010246745820465,3.48,3.474005435453437,-0.0033333333333333327,-0.003382146841775535,-0.0016666666666666668,-0.0005695797198294533
-0.499736,-4.0,-4.0099497285265375,3.48,3.47361595530621,-0.0033333333333333327,-0.0033788701447592055,-0.001,-0.0005532986288657047
-0.499728,-4.04,-4.009693753103039,3.48,3.4731115810942828,-0.0033333333333333327,-0.003375158521298755,0.0003333333333333333,-0.0005372815844452448
-0.49972,-4.0,-4.009485384172704,3.4,3.4724966979720238,-0.0033333333333333327,-0.003371086258403368,-0.0016666666666666668,-0.0005219409856181787
-0.499712,-4.0,-4.009330533162391,3.48,3.4717780507326337,-0.0033333333333333327,-0.0033667331137128866,-0.001,-0.0005076972160116316
-0.499704,-4.0,-4.009234352049104,3.48,3.4709647588416392,-0.0033333333333333327,-0.0033621812274845673,-0.0003333333333333333,-0.0004949666442809234
-0.499696,-4.0,-4.009201130262082,3.48,3.470068301160244,-0.0033333333333333327,-0.003357512142598817,-0.0003333333333333333,-0.0004841497140288512
-0.499688,-4.0,-4.009234202417128,3.48,3.4691024614401846,-0.0025925925925925925,-0.00335280412377901,-0.0003333333333333333,-0.0004756194391165954
-0.49968,-4.0,-4.009335872728964,3.48,3.46808322221105,-0.0033333333333333327,-0.003348129945988103,0.001,-0.00046971071298450566
-0.499672,-4.04,-4.009507358974186,3.48,3.4670285948195154,-0.0033333333333333327,-0.003343555280611474,-0.0003333333333333333,-0.0004667108663117655
-0.499664,-4.0,-4.0097487559154255,3.48,3.4659583762060713,-0.0033333333333333327,-0.0033391377378843607,-0.001,-0.0004668518378847173
-0.499656,-4.0,-4.010059016240684,3.48,3.464893827013111,-0.0033333333333333327,-0.003334926540354028,0.0003333333333333333,-0.00047030417572956887
-0.499648,-4.04,-4.010435946883735,3.48,3.4638572701215926,-0.0033333333333333327,-0.0033309627354991328,-0.0003333333333333333,-0.0004771729163202911
-0.49964,-4.0,-4.010876219575241,3.48,3.462871613606831,-0.0033333333333333327,-0.0033272798211911835,-0.001,-0.0004874952567965858
-0.499632,-4.0,-4.011375395720609,3.48,3.461959807392569,-0.0033333333333333327,-0.003323904646696948,-0.0003333333333333333,-0.0005012398502155734
-0.499624,-4.04,-4.011927966889742,3.48,3.461144248563924,-0.0033333333333333327,-0.0033208584501379463,-0.0016666666666666668,-0.0005183075009722067
-0.499616,-4.0,-4.012527413311193,3.4,3.4604461562454345,-0.0033333333333333327,-0.003318157894111478,-0.0003333333333333333,-0.0005385330232454258
-0.499608,-4.0,-4.01316628364738,3.4,3.4598849423169935,-0.004074074074074074,-0.0033158159644337422,-0.0003333333333333333,-0.0005616880699716397
-0.4996,-4.0,-4.013836299966761,3.48,3.459477606762867,-0.0033333333333333327,-0.0033138426091173043,-0.001,-0.0005874848343001204
-0.499592,-4.0,-4.01452849190918,3.48,3.4592381836188473,-0.0033333333333333327,-0.0033122450297939704,-0.0003333333333333333,-0.0006155806263249222
-0.499584,-4.0,-4.015233362661366,3.48,3.4591772559626977,-0.0033333333333333327,-0.0033110276044334146,-0.001,-0.0006455833956798387
-0.499576,-4.0,-4.01594108603538,3.48,3.459301551078296,-0.0033333333333333327,-0.0033101915029898838,0.0003333333333333333,-0.0006770583013013424
-0.499568,-4.04,-4.016641729250825,3.4,3.4596136245851703,-0.0025925925925925925,-0.003309734124777815,0.0003333333333333333,-0.0007095354360721198
-0.49956,-4.04,-4.0173254911313006,3.48,3.460111644900483,-0.0033333333333333327,-0.0033096485159862395,-0.0003333333333333333,-0.0007425187835318536
-0.499552,-4.04,-4.0179829418629645,3.4,3.460789292702831,-0.0033333333333333327,-0.0033099229121978328,-0.0003333333333333333,-0.0007754963793732501
-0.499544,-4.0,-4.018605249875594,3.48,3.461635790142532,-0.0033333333333333327,-0.0033105404993907074,-0.0016666666666666668,-0.000807951461675773
