Time (s),CH1_Raw (V),CH1_Filtered (V),CH2_Raw (V),CH2_Filtered (V),CH4_Raw (V),CH4_Filtered (V)
-0.5,-3.84,-3.839785342566101,3.18,3.1791114798275615,0.0,0.0020096676949254615
-0.499992,-3.84,-3.8400429806488576,3.18,3.178233019597283,0.0,0.0054879083056562075
-0.499984,-3.84,-3.8402991524387216,3.18,3.1773367432956614,0.0,0.008836596227046802
-0.499976,-3.84,-3.840549965955751,3.18,3.1764351854347903,0.0,0.012032373291938571
-0.499968,-3.84,-3.840791773900495,3.18,3.175541170495711,0.06666666666666668,0.015053403702963588
-0.49996,-3.84,-3.8410212612116528,3.18,3.174667552930134,0.06666666666666668,0.017879761027897692
-0.499952,-3.84,-3.841235523567053,3.18,3.1738269430698054,0.0,0.020493763643077045
-0.499944,-3.84,-3.8414321345182816,3.18,3.173031423706085,0.06666666666666668,0.022880243786680025
-0.499936,-3.84,-3.841609198655569,3.14,3.1722922637158555,0.0,0.025026742933380756
-0.499928,-3.84,-3.841765387820365,3.18,3.171619636635809,0.0,0.026923634655742646
-0.49992,-3.88,-3.8418999569829526,3.18,3.1710223527477734,0.06666666666666668,0.02856418233667711
-0.499912,-3.84,-3.842012736341125,3.18,3.170507612545433,0.0,0.02994454175230686
-0.499904,-3.84,-3.842104097245852,3.18,3.170080788210927,0.06666666666666668,0.031063718431891083
-0.499896,-3.84,-3.842174892199784,3.14,3.169745239503504,0.0,0.031923488778446904
-0.499888,-3.84,-3.8422263725879273,3.18,3.1695021716948286,0.0,0.03252829366960364
-0.49988,-3.84,-3.8422600903464104,3.18,3.169350544609965,0.06666666666666668,0.03288511325939572
-0.499872,-3.84,-3.842277790638707,3.14,3.16928704212174,0.0,0.03300333049550285
-0.499864,-3.84,-3.842281302267331,3.14,3.169306110624565,0.0,0.032894587960872995
-0.499856,-3.84,-3.842272431775719,3.14,3.1694000734598324,0.06666666666666668,0.03257263892383403
-0.499848,-3.84,-3.842252866349413,3.18,3.169559325179814,0.06666666666666668,0.03205318971613129
-0.49984,-3.84,-3.842224089772716,3.18,3.169772604005057,0.0,0.031353727333501516
-0.499832,-3.84,-3.842187314842109,3.14,3.170027333998713,0.06666666666666668,0.03049332492689216
-0.499824,-3.84,-3.8421434347854846,3.18,3.1703100229131596,0.0,0.029492419586990625
-0.499816,-3.84,-3.842092995390896,3.18,3.170606698513135,0.0,0.02837256002408377
-0.499808,-3.84,-3.8420361887135246,3.18,3.170903364542402,0.06666666666666668,0.027156123827269122
-0.4998,-3.84,-3.8419728684081367,3.18,3.171186456597068,0.06666666666666668,0.025866003834314245
-0.499792,-3.84,-3.84190258592913,3.18,3.1714432784587347,0.06666666666666668,0.024525262084166853
-0.499784,-3.84,-3.8418246460541208,3.18,3.1716624013314876,0.0,0.023156751042786833
-0.499776,-3.84,-3.841738179422227,3.18,3.1718340113883685,0.0,0.02178270748456504
-0.499768,-3.84,-3.8416422290375185,3.18,3.1719501943047765,0.0,0.020424332641306043
