[2026-07-07 11:44:49.264212] [tm_devices] [   DEBUG] timezone==America/New_York
[2026-07-07 11:44:49.265430] [tm_devices] [   DEBUG] tm_devices==3.6.1
[2026-07-07 11:44:49.265621] [tm_devices] [    INFO] Opening DeviceManager
[2026-07-07 11:44:49.266107] [tm_devices] [ WARNING] An unsupported device type is being added to the DeviceManager. Not all functionality will be available in the device driver. Please consider contributing to tm_devices to implement official support for this device type.
[2026-07-07 11:44:49.266194] [tm_devices] [    INFO] Creating Connection to UNSUPPORTED 1
[2026-07-07 11:44:49.642425] [tm_devices] [   DEBUG] SCOPE VISA timeout set to: 5000.000ms
[2026-07-07 11:44:49.642653] [tm_devices] [    INFO] (SCOPE 1) Query >>  '*IDN?'
[2026-07-07 11:44:49.663635] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,DPO2014B,C040933,CF:91.1CT FV:v1.56'
[2026-07-07 11:44:49.663863] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH1?'
[2026-07-07 11:44:49.685555] [tm_devices] [    INFO] Response from 'SELect:CH1?' >>  '1'
[2026-07-07 11:44:49.685814] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH2?'
[2026-07-07 11:44:49.707093] [tm_devices] [    INFO] Response from 'SELect:CH2?' >>  '0'
[2026-07-07 11:44:49.707339] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH3?'
[2026-07-07 11:44:49.730796] [tm_devices] [    INFO] Response from 'SELect:CH3?' >>  '0'
[2026-07-07 11:44:49.730978] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH4?'
[2026-07-07 11:44:49.751828] [tm_devices] [    INFO] Response from 'SELect:CH4?' >>  '1'
[2026-07-07 11:44:49.752074] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:ENCdg RIBinary'
[2026-07-07 11:44:49.771722] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:WIDth 2'
[2026-07-07 11:44:49.835306] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:SOUrce CH1'
[2026-07-07 11:44:49.860857] [tm_devices] [    INFO] (SCOPE 1) Query >>  'HORizontal:RECOrdlength?'
[2026-07-07 11:44:49.891836] [tm_devices] [    INFO] Response from 'HORizontal:RECOrdlength?' >>  '125000'
[2026-07-07 11:44:49.892106] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STARt 1'
[2026-07-07 11:44:49.909724] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STOP 125000'
[2026-07-07 11:44:49.927452] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XINcr?'
[2026-07-07 11:44:50.103978] [tm_devices] [    INFO] Response from 'WFMPre:XINcr?' >>  '3.2000E-6'
[2026-07-07 11:44:50.104260] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XZEro?'
[2026-07-07 11:44:50.290517] [tm_devices] [    INFO] Response from 'WFMPre:XZEro?' >>  '-200.0000E-3'
[2026-07-07 11:44:50.290764] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:PT_Off?'
